ARGsubtype	ARGtype	B146	B147	B149	B150	B151	B152	B153	B155	B156	B157	B158	B159	B182	B184	B187	B192	B193	B194	B195	B196	B197	B198	B199	B200
mdtA	aminocoumarin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mdtB	aminocoumarin	0	0	0	2.56289227527039	0	0	0	0	0	0	0	0	0	5.77458454984493	0	5.30059038128831	0	5.25156255517423	0	4.42169557831185	0	0	0	0
mdtC	aminocoumarin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mdtE	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.68440218767271	0	0	0	0	0
mdtF	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mdtM	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mdtN	nucleoside	0	2.76157141853506	1.09653130362838	4.27581521061284	0	3.34185228490556	1.92996384225247	0.948786157468164	4.72045490409158	0	0	4.12254024248446	0	0	2.23887374858234	1.68845775475507	3.78060041675066	3.74383894558371	17.5773247731907	1.05977080079377	3.43655774707041	0	10.9518015118241	0
mdtO	nucleoside	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1390122164499	2.97627220222923	0	0	0	0
mdtP	nucleoside	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mexM	phenicol	1.19059684074788	5.69164044522048	0	16.9614328209828	3.24395615146935	2.9320423334064	6.87888300362232	0.651650103833426	1.75833958710906	0	11.6135690285446	1.98633126006698	0.763272161448771	0	14.8981522931212	0.579837544289537	1.87300526778868	0.667998757018162	14.9231087565059	3.93761802794928	1.91521987451712	0	3.75423765673592	9.53311166861456
mexP	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mexY	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.60114305194826	0	0	0	0
mphA	MLS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.95032784349688	0	0	0	0	0	0
msbA	nitroimidazole	1.43144040343687	1.53660871857472	0.402114837184599	1.25497823222028	3.20316236177311	1.44758548003782	1.78094395594464	0.643453247181433	0.107512794194805	1.98054362032235	2.33115802420514	5.29327184879666	2.32451067350307	1.10286753106554	4.1058002963053	0	1.84945471039409	0	0	0	0.630211203142129	0	0	0.891422592002672
mtrD	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70261540067192	0	0	0	0	0	0	0	0	0
oleB	MLS	0.482925395623164	0.581540417510084	0	0.389527664596825	0	0.599159816624834	3.25134297398904	3.59380933835808	0	0.307427666438097	2.56302795832294	0	0.360819567230328	0.684629267195478	0	0	1.14808967298638	0.775655789399234	7.97659314296168	0	0	0	0.851911958568856	0
opcM	multidrug	0	14.5750431050059	0	4.92702556270804	6.82786055040732	0	17.0747610989777	0	1.42247696934666	0	0	0	1.41413515002963	0.728954623597236	5.34649588019122	1.5143241526178	0	2.61685362124332	11.6181217374816	2.05640105154024	0	0.704067975208585	0	0
oqxA	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.91000601009825	0	10.5395196578941	0	0	0	0
oqxB	multidrug	0	0	0	0	0	0	0	3.65938419157402	0	0	8.3390118395557	0	4.24379321765517	0	0	0	0	4.81778348811684	0	0	0	0	0	0
pp-flo	phenicol	0	4.79472618590686	0	0	2.73233403902907	0	11.7277608427156	1.6470558835098	1.47715227921495	1.26715377897241	0	0	2.22597917629787	2.82234026752187	0	1.46554851013432	0	0	8.96762441223874	5.97111515447237	0	0	0	0
rosA	peptide	0	2.85998595072908	0.409478405062979	3.09324917245222	1.08698452128093	0.452826553718384	0	0	1.67104287387396	4.03203208674581	0	0	0	1.03484346926086	0	1.16605694834327	1.88257268173023	0	1.18905158856037	0.791732975593008	0.641751694919413	1.17100512391649	0	0
rosB	peptide	1.80508844992222	5.86535700583568	0	5.38497026583021	1.03429254292329	0	1.51937758207565	1.29049261914811	1.15737063494322	0	3.42752213060091	3.88418049127642	3.00497937016437	1.10550072055475	4.19012576012052	0	3.58115663381521	2.60057377732228	19.4478265684866	7.57748503067554	0	3.3807165129489	0	4.31729588149065
rpoB2	multidrug	1.40017407974588	2.94796257799342	1.12470495464132	3.70600615252953	2.20456438483403	1.88773749917375	4.22153538065051	5.59281775436282	0.814156715013654	1.39643105408997	5.40776058287256	3.18113960892544	2.64924828401037	3.9506619636498	12.2167332809504	3.28848116706346	5.14432488088128	0.843400946360981	16.9999979268295	8.30422038121986	3.47720034854694	3.80920001411615	1.14097952057897	2.72749762823747
salA	multidrug	0	1.64918897888757	0	8.95564052463444	6.58054820037389	1.07272651784177	0	5.85921559555258	6.2481473857058	1.10082752866872	3.19911294176846	1.99776771277645	5.55245803264824	2.93995606470673	11.0126440999611	5.1150606010007	2.05552208759677	4.93384302058619	23.251118240731	3.9320468029451	1.74110897683375	0	0	2.49541547251703
smeA	multidrug	0	3.09782107019794	0	2.76664520752104	0	2.12432881137946	2.88660898652232	0.709540403938125	0	0	0	0	0	3.03913953546711	0	0	0	1.45468282778326	2.57519382354357	2.57204887692646	6.25444478277598	0.6340274029024	0	0
smeB	multidrug	0	0	0	3.4203525318252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
smeC	multidrug	0	4.46518661598448	0	4.33823951583669	5.02273535634892	0.842280434524526	3.27739540166523	4.45038085849133	3.02276355986164	0.864344708331726	1.5178828821502	0	1.01445809094373	0.962430758307489	3.52859576491896	2.92198007774837	3.22274658846626	4.53104817260432	7.05714668394197	3.61077282770447	0	1.46718976628317	0	0
smeE	multidrug	0	0	0	3.06378490038656	0	0	0	0	0	0	0	0	0	2.69243625272068	0	2.79662211809458	0	3.22183362759939	0	0	0	0	0	0
smeF	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
srmB	MLS	0	3.13286260817612	0	2.48898189788535	5.1281193130642	0	3.28364798430752	1.61426845690183	2.28993062507226	0	6.54357718552121	1.26463090224264	0	0	2.05976384869575	1.79284674661222	2.89451069477912	4.63397879868574	3.40818070653817	0	0	0	0.764900438014174	2.98229118757582
sul1	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	12.7209384223898	0	0	0	0	0	0	0	0	0	0
sul4	sulfonamide	1.11753889628181	5.40758031820594	1.26557320970599	7.93837404670657	1.53401646670217	1.37153827254313	7.20089100970008	4.46472535763231	0	4.11598348796544	6.19334976264478	2.17292601480054	1.65190599305064	5.46694024452184	5.87402029336084	6.52955423302148	6.17245390213896	4.89918270772204	19.736025155237	6.45766880483679	13.7477362698178	0	1.95721311507101	5.09658091812993
tet(35)	tetracycline	2.74338772821313	4.57403905310816	1.54827018521076	8.93866111361355	2.60655318746568	0.742804541892582	0	10.4515045348315	4.51645626895272	4.41513425569174	6.13936213619348	9.27315739169449	4.9978135953288	5.28788335925533	11.3303353822416	2.64528087225801	13.1662334934143	8.7170686853337	18.1165350322721	9.33118285698906	5.33020191956913	0	2.11121258450461	2.17674609050334
tet(37)	tetracycline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0420328870155	0	0	0	0
tet(44)	tetracycline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00474735225056	0	0	0	0
tet(A)	tetracycline	0	0	0	1.63202103577234	0	0	0	0	0	0	0	3.93413973205992	2.26761220328598	0	2.13624508331885	1.48970840781306	0	2.57431596454641	0	0	0	0	1.18976422247992	0
tet(C)	tetracycline	0.403056964808564	10.528118250846	2.32848822519394	3.24156932166409	0	1.95955986180763	0	3.72803286603446	0	0	6.76575703284005	0	0	0	0	2.84904453758617	0	2.20670658568421	17.2984229150452	21.7364438662806	0.653292186696697	3.90029853626603	3.71491864326351	0
tet(G)	tetracycline	0	0	0	0	0	0	6.35470815877729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tet(K)	tetracycline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.64110505272719	0	0	0	0
tet(M)	tetracycline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85738995822812
tet(O/M/O)	tetracycline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tet(Q)	tetracycline	0	0	0	0	0	0	0	0	0	0	0	0	0.759571447938716	0	0	0	0	0	0	31.3994241235182	0	0	0	0
tet(W)	tetracycline	0.787849443500611	1.89746200328611	1.62926943187295	0	0	0	0	0	1.75374502325458	1.00308129626276	0	0	1.76570293348482	0	0	1.73996847999462	0	0	0	0	0	0.582298091329857	0	0
tetA(46)	tetracycline	0.362194046717373	3.54441428826018	0.571797053512495	4.12399930030844	3.97229527167087	0.449369862468625	9.25903279611942	5.11483855084349	1.09212782820963	1.52058453476689	1.21402944609733	2.65145127290758	2.30832005189659	2.7358838792927	5.75897159854317	2.13245285549249	3.44279710912198	2.88678393657927	9.98840521305132	12.8800531846472	2.3472356753972	1.22777003219078	0.851547893629297	2.49044735297562
tetA(58)	tetracycline	13.8714128541528	59.3886967912605	5.34659058995446	70.2453215767359	55.7515125848544	8.3913100471919	104.206584413456	26.8969604964328	19.4524644470926	25.5377797681924	34.8081760799515	40.4212392237993	37.8074143970958	23.3577073640673	34.06552632405	27.5618847801716	66.7253526931475	35.4212642783947	87.0164500685397	36.1950108021101	9.85758701984893	14.8486013289114	28.7913476151713	19.9803573328497
tetB(46)	tetracycline	1.95058520373177	4.72837093313968	0	12.0009478306747	7.99218329798736	2.26874169025826	10.7742419897669	7.29878854505882	4.15026952975076	3.85072859115411	5.09006416567833	10.0905628011402	4.03840361784713	4.59623225342195	15.2799047804707	6.9630648498606	11.2792450821726	3.81263441505649	16.036856843367	4.54673862840551	2.58205959503933	0.447710324937579	2.49784955031663	2.60613356515431
tetB(60)	tetracycline	5.3824511882692	10.5922368096997	0.538180765372063	15.0132951035569	6.37742912251139	0.9475174792394	4.36638687853015	10.6390076307459	4.71907653493524	5.86162084008638	7.45859823896515	9.04984560457787	6.56136505332689	8.78124808161174	6.59372832173723	6.06823694149553	11.0290204098551	3.49964128676811	27.0348867829051	5.10324210382233	4.15959464494287	1.14308045129768	2.42103184806961	2.98583984439111
ugd	peptide	2.78951329484637	5.76470577972816	0	4.42363596538292	2.19011658431661	2.4108501083039	2.67923166221981	4.61124417028669	12.691563735227	3.55000127129223	8.01370178273372	7.10384288827589	9.53026246676823	1.12832169612793	9.15029335260015	5.27779802498763	1.89214009567178	6.26091287827872	14.3485709287262	9.5688884571671	5.80637264551012	0	0.93819534924442	3.65866517657148
vanD	peptide	0	0	0	0	0	0	0	0	0	0	0	1.18036230333071	0	0.860614098057905	2.56375557428903	1.78783242822607	0	0	16.1874638467656	2.42781605181843	0	0	1.42786269295173	0
vanE	peptide	2.9263421569396	2.39699031063451	0.514809441236334	0	3.94424954125471	0	3.35034219915858	2.41858501587862	0	5.00594716850034	4.36746055009931	1.93516818215616	1.39331863653557	3.47449353101705	4.07050126494079	2.15706860029724	0	4.09306785550279	16.3287741215593	16.5440621623915	1.57301920529504	0	1.72676000832995	0
vanG	peptide	0	0	1.03954369135222	1.62153375249473	0	0	0	0	0	1.27976619605705	0	0	1.50202709589343	2.13727213541152	2.12251768223266	1.48013561816677	4.7792912412651	1.70518236166507	10.564802386552	1.0046775757525	0	0	2.36423771749836	0
vanH gene in vanA cluster	peptide	1.92891547444098	7.50038025660441	0.997283214832823	11.2973010621915	188.89309357656	0.598391663013776	15.5011944673356	14.4838457040712	7.93113612560141	3.12985012716016	15.7720005634093	5.77059326977639	6.85048329629991	7.44885420006977	11.8689724534334	12.9724975121003	10.5646328562304	11.2068344927418	29.7365161154746	10.2560062076817	1.68390827845938	2.33651686961289	3.09163946673792	11.711277221844
vanH gene in vanB cluster	peptide	3.78136776124163	8.38014652924787	2.24556804778087	9.52594897715953	7.88424972941607	0.590710126903201	7.78029700121864	4.65530227479115	4.12086432108209	5.24400654097292	11.3692404113996	6.84321215021256	5.68938443252026	9.66863293947665	14.6824359903381	7.74438682384822	18.450389808826	6.56130225643468	29.5728936920293	12.235029134164	3.39039577996128	2.30538772636569	4.27885523464093	4.99296013912325
vanH gene in vanD cluster	peptide	2.34559341194661	21.3186752542094	1.93149587001169	17.7769439444271	10.5876881674103	1.51595115142193	14.3569718437971	2.79768963603328	5.08710109967899	8.41248219545479	12.7410798425084	10.8014286248187	3.09425908359444	0	23.055496967153	6.15211281268207	8.16247600198201	4.44072129665533	23.1200343674026	13.9262054354307	8.79034241070617	1.20167648564534	5.78462782465836	10.7148143881085
vanH gene in vanO cluster	peptide	0.935203602677935	8.19971988689218	0	4.55747367578285	0	0.589173819681086	8.03665288955239	1.54766899660439	4.56286136388296	0.621555679452409	2.10759387877217	0.923343076649315	4.28681401220955	2.7104297142303	3.03571669734784	2.7542283353753	11.287340586277	0	11.6906362205994	9.65431390723108	1.51581850692068	0	1.66668929330266	1.0887279109332
vanL	peptide	0	2.39699031063451	1.02929872734752	5.62018504791368	2.73233403902907	0	3.35034219915858	1.6470558835098	0	0	4.45051843694747	0	0	0	5.2549798729499	0	3.54951057231623	0.844451258872016	2.98889824645942	0	0	1.47176758146658	0	6.84606872807147
vanTr gene in vanL cluster	peptide	1.28284797401435	4.11924462402976	0	8.17109185658109	0	1.02970991562255	8.63585872610486	11.019136857982	0.634509268303531	1.08860924961798	13.5245925751094	3.87515171282157	2.51787295440343	5.5845560417067	7.11667693454478	7.09252543364851	4.6784654174195	5.51466583918846	12.7560413187153	5.02895910376669	0	1.22731225067244	1.0055473630629	0.951040026499666
vanX gene in vanA cluster	peptide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vanX gene in vanD cluster	peptide	0	2.02569912099346	0	12.1123127911941	0	0	11.2067122891917	0	1.25523484504362	0	0	3.13479187952388	2.46051189499758	0	0	2.49074869653933	0	4.25113988841354	0	13.3505121849995	0.88661082480266	2.43493989605622	0	0
vanY gene in vanD cluster	peptide	0	1.95188822184795	0	0	1.11248063984107	0	1.36410511312553	2.68242133936464	4.81096781202481	1.0318533727371	0	0	1.81658774424807	0	1.31783050427503	0	0	0	7.30072097338905	2.43091117682075	0	0	0	0
vgaB	multidrug	0.923440035348653	5.7632146504525	0	7.85098001939318	1.60965495176394	0	4.24446151700556	2.64451087734917	1.37055839779104	0.858826775857196	11.3401701510027	3.59164806933929	6.15567433478715	1.24681522314253	0	1.85666534425415	5.57559446316975	1.64163845474746	4.52750683056217	1.75865002631723	2.85100322950125	0	2.09410153234533	0
vgaD	multidrug	2.80963518633067	5.53134404808629	0.439893141951942	2.53642436985548	0	3.58190028836102	9.92910123595114	6.53545626934199	1.39215284790709	1.50994280785173	7.48282345596254	6.11428876962434	1.77958060914753	0.840865176888805	11.5538959142169	10.1859040307781	6.46462800481562	2.00872267735414	27.3983888713547	16.0457470370183	0.96137314109898	0	1.60334199381933	7.81201311319539
vgaE	multidrug	2.20412103643393	2.39699031063451	0.655997851426149	10.2790357953801	5.68648430953141	1.71874370474111	5.70860795240768	4.49443896299579	8.52199703728739	1.56551627063092	10.1296014501907	8.88792951095423	4.54493877953586	3.48678174863338	9.02936148588841	9.14338165358454	9.98617229022577	5.09926724107418	34.8943411454457	8.41440683130239	3.42702429734135	2.57914107433366	1.62482182525334	5.21155739894556
vmlR	multidrug	0	0	0	0	0	0	0	2.7843697439738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vph	peptide	0	0	0	6.36178579397301	6.76666986586297	1.14992595575305	9.95619576073438	4.0789607914479	1.46336858765152	0	0	1.91711062524646	0	0	2.08198916474007	0	2.34401641568053	2.50867143260673	5.9117897198244	2.95708242721485	0	1.45803413591635	0	0
ykkC	multidrug	0	0	6.21645206497879	2.35564358192721	3.9714454010522	0	0	11.4351273330707	8.33683611395189	5.52542109717395	6.46882508735786	5.18913993728406	0	2.05081574718235	0	0	0	0	21.5498169060433	0	0	2.17995559034024	0	0
ykkD	multidrug	2.66878194594058	0	0	4.6253913198664	0	0	0	2.41653580171562	0	0	0	10.9440833244054	2.18203320336597	0	0	0	0	0	34.0557762252881	9.37451460702151	0	45.7003289759903	3.95738589301003	3.85738995822812
